SNo,ObservationDate,Province,Country/Region,Last Update,Confirmed,Deaths,Recovered
32,01/22/2020,Washington,US,1/22/2020 17:00,1.0,0.0,0.0
70,01/23/2020,Washington,US,1/23/20 17:00,1.0,0.0,0.0
118,01/24/2020,Washington,US,1/24/20 17:00,1.0,0.0,0.0
119,01/24/2020,Chicago,US,1/24/20 17:00,1.0,0.0,0.0
159,01/25/2020,Washington,US,1/25/20 17:00,1.0,0.0,0.0
160,01/25/2020,Illinois,US,1/25/20 17:00,1.0,0.0,0.0
203,01/26/2020,Washington,US,1/26/20 16:00,1.0,0.0,0.0
204,01/26/2020,Illinois,US,1/26/20 16:00,1.0,0.0,0.0
205,01/26/2020,California,US,1/26/20 16:00,2.0,0.0,0.0
206,01/26/2020,Arizona,US,1/26/20 16:00,1.0,0.0,0.0
250,01/27/2020,Washington,US,1/27/20 23:59,1.0,0.0,0.0
251,01/27/2020,Illinois,US,1/27/20 23:59,1.0,0.0,0.0
252,01/27/2020,California,US,1/27/20 23:59,2.0,0.0,0.0
253,01/27/2020,Arizona,US,1/27/20 23:59,1.0,0.0,0.0
301,01/28/2020,Washington,US,1/28/20 23:00,1.0,0.0,0.0
302,01/28/2020,Illinois,US,1/28/20 23:00,1.0,0.0,0.0
303,01/28/2020,California,US,1/28/20 23:00,2.0,0.0,0.0
304,01/28/2020,Arizona,US,1/28/20 23:00,1.0,0.0,0.0
353,01/29/2020,Washington,US,1/29/20 19:30,1.0,0.0,0.0
354,01/29/2020,Illinois,US,1/29/20 19:30,1.0,0.0,0.0
355,01/29/2020,California,US,1/29/20 19:30,2.0,0.0,0.0
356,01/29/2020,Arizona,US,1/29/20 19:30,1.0,0.0,0.0
408,01/30/2020,Washington,US,1/30/20 16:00,1.0,0.0,0.0
409,01/30/2020,Illinois,US,1/30/20 16:00,1.0,0.0,0.0
410,01/30/2020,California,US,1/30/20 16:00,2.0,0.0,0.0
411,01/30/2020,Arizona,US,1/30/20 16:00,1.0,0.0,0.0
476,01/31/2020,Illinois,US,1/31/2020 23:59,2.0,0.0,0.0
477,01/31/2020,California,US,1/31/2020 23:59,2.0,0.0,0.0
484,01/31/2020,Washington,US,1/31/2020 23:59,1.0,0.0,0.0
485,01/31/2020,Arizona,US,1/31/2020 23:59,1.0,0.0,0.0
543,02/01/2020,Illinois,US,2/1/2020 19:43,2.0,0.0,0.0
555,02/01/2020,Massachusetts,US,2/1/2020 19:43,1.0,0.0,0.0
556,02/01/2020,California,US,2/1/2020 19:53,1.0,0.0,0.0
557,02/01/2020,California,US,2/1/2020 19:53,1.0,0.0,0.0
558,02/01/2020,California,US,2/1/2020 19:53,1.0,0.0,0.0
559,02/01/2020,Washington,US,2/1/2020 19:43,1.0,0.0,0.0
560,02/01/2020,Arizona,US,2/1/2020 19:43,1.0,0.0,0.0
613,02/02/2020,Illinois,US,2020-02-01T19:43:03,2.0,0.0,0.0
622,02/02/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
623,02/02/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
624,02/02/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
625,02/02/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
626,02/02/2020,Washington,US,2020-02-01T19:43:03,1.0,0.0,0.0
627,02/02/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
680,02/03/2020,Illinois,US,2020-02-01T19:43:03,2.0,0.0,0.0
681,02/03/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
682,02/03/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
691,02/03/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
692,02/03/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
693,02/03/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
694,02/03/2020,Washington,US,2020-02-01T19:43:03,1.0,0.0,0.0
695,02/03/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
748,02/04/2020,Illinois,US,2020-02-01T19:43:03,2.0,0.0,0.0
749,02/04/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
750,02/04/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
761,02/04/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
762,02/04/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
763,02/04/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
764,02/04/2020,Washington,US,2020-02-01T19:43:03,1.0,0.0,0.0
765,02/04/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
819,02/05/2020,Illinois,US,2020-02-01T19:43:03,2.0,0.0,0.0
820,02/05/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
821,02/05/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
831,02/05/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
832,02/05/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
833,02/05/2020,Wisconsin,US,2020-02-05T21:53:02,1.0,0.0,0.0
834,02/05/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
835,02/05/2020,Washington,US,2020-02-01T19:43:03,1.0,0.0,0.0
836,02/05/2020,Arizona,US,2020-02-01T19:43:03,1.0,0.0,0.0
890,02/06/2020,Illinois,US,2020-02-01T19:43:03,2.0,0.0,0.0
891,02/06/2020,California,US,2020-02-03T03:53:02,2.0,0.0,0.0
892,02/06/2020,California,US,2020-02-03T00:43:02,2.0,0.0,0.0
902,02/06/2020,Massachusetts,US,2020-02-01T19:43:03,1.0,0.0,0.0
903,02/06/2020,California,US,2020-02-01T19:53:03,1.0,0.0,0.0
